uid,target,NDCG@20,Recall@20,HitRate@20
1298,1613,0.0,0.0,0.0
1300,2212,0.0,0.0,0.0
1302,715,0.0,0.0,0.0
1306,1618,0.43067655807339306,1.0,1.0
1307,3151,0.0,0.0,0.0
1309,2566,0.0,0.0,0.0
1310,1086,0.0,0.0,0.0
1315,2949,0.0,0.0,0.0
1319,2300,0.0,0.0,0.0
1327,619,0.0,0.0,0.0
1328,2070,0.0,0.0,0.0
1331,2853,0.0,0.0,0.0
1332,1110,0.0,0.0,0.0
1333,868,0.0,0.0,0.0
1334,3256,0.0,0.0,0.0
1339,2309,0.0,0.0,0.0
1341,2795,0.0,0.0,0.0
1344,2839,0.0,0.0,0.0
1347,2596,0.0,0.0,0.0
1349,534,0.2890648263178879,1.0,1.0
1358,2964,0.0,0.0,0.0
1360,376,0.0,0.0,0.0
1363,2873,0.0,0.0,0.0
1367,1297,0.0,0.0,0.0
1370,2266,0.0,0.0,0.0
1372,3037,0.0,0.0,0.0
1374,930,0.0,0.0,0.0
1386,644,0.0,0.0,0.0
1390,2530,0.0,0.0,0.0
1395,2848,0.0,0.0,0.0
1399,2795,0.0,0.0,0.0
1404,868,0.0,0.0,0.0
1410,3121,0.0,0.0,0.0
1412,1045,0.0,0.0,0.0
1413,960,0.0,0.0,0.0
1414,2661,0.0,0.0,0.0
1415,2431,0.0,0.0,0.0
1424,1574,0.0,0.0,0.0
1425,2037,0.0,0.0,0.0
1426,1595,0.0,0.0,0.0
1429,3209,0.0,0.0,0.0
1431,969,0.0,0.0,0.0
1437,2789,0.0,0.0,0.0
1440,1974,0.0,0.0,0.0
1441,2854,0.0,0.0,0.0
1442,2756,0.0,0.0,0.0
1443,3150,0.0,0.0,0.0
1445,989,0.0,0.0,0.0
1456,3251,0.0,0.0,0.0
1458,1484,0.0,0.0,0.0
1462,2626,0.0,0.0,0.0
1463,361,0.0,0.0,0.0
1466,3121,0.0,0.0,0.0
1478,2550,0.0,0.0,0.0
1479,3253,0.0,0.0,0.0
1480,1261,0.38685280723454163,1.0,1.0
1481,2007,0.0,0.0,0.0
1482,2966,0.0,0.0,0.0
1484,2397,0.0,0.0,0.0
1485,2618,0.0,0.0,0.0
1488,3196,0.0,0.0,0.0
1492,2671,0.0,0.0,0.0
1497,1680,0.0,0.0,0.0
1499,3119,0.0,0.0,0.0
1502,1398,0.0,0.0,0.0
1506,2190,0.0,0.0,0.0
1510,1651,0.0,0.0,0.0
1511,2615,0.0,0.0,0.0
1514,3238,0.0,0.0,0.0
1517,3038,0.0,0.0,0.0
1518,202,0.0,0.0,0.0
1520,1412,0.0,0.0,0.0
1526,3219,0.0,0.0,0.0
1529,2975,0.0,0.0,0.0
1534,2637,0.0,0.0,0.0
1535,1543,0.0,0.0,0.0
1536,3255,0.0,0.0,0.0
1540,1015,0.0,0.0,0.0
1542,2380,0.0,0.0,0.0
1543,2456,0.0,0.0,0.0
1544,2287,0.23137821315975915,1.0,1.0
1545,3219,0.0,0.0,0.0
1550,2872,0.0,0.0,0.0
1551,1922,0.0,0.0,0.0
1567,2259,0.0,0.0,0.0
1573,1846,0.0,0.0,0.0
1574,2936,0.3333333333333333,1.0,1.0
1575,2179,0.0,0.0,0.0
1578,3042,0.0,0.0,0.0
1583,3092,0.0,0.0,0.0
1589,1343,0.0,0.0,0.0
1594,2394,0.0,0.0,0.0
1596,557,0.0,0.0,0.0
1597,2318,0.0,0.0,0.0
1598,2343,1.0,1.0,1.0
1599,2957,0.0,0.0,0.0
1602,136,0.0,0.0,0.0
1603,1970,0.0,0.0,0.0
1610,288,0.0,0.0,0.0
1611,434,0.3333333333333333,1.0,1.0
1614,3259,0.0,0.0,0.0
1615,1508,0.0,0.0,0.0
1616,1290,0.0,0.0,0.0
1620,2828,0.0,0.0,0.0
1621,1938,0.0,0.0,0.0
1622,2893,0.0,0.0,0.0
1624,3041,0.0,0.0,0.0
1629,2033,0.0,0.0,0.0
1630,1743,0.0,0.0,0.0
1631,732,0.0,0.0,0.0
1632,2936,0.0,0.0,0.0
1635,2555,0.0,0.0,0.0
1638,952,1.0,1.0,1.0
1640,1996,0.0,0.0,0.0
1641,3008,0.0,0.0,0.0
1643,1618,0.5,1.0,1.0
1644,3194,0.0,0.0,0.0
1646,1318,0.0,0.0,0.0
1653,1854,0.0,0.0,0.0
1655,3080,0.0,0.0,0.0
1658,309,0.0,0.0,0.0
1661,2260,0.0,0.0,0.0
1663,1413,0.0,0.0,0.0
1665,2287,0.0,0.0,0.0
1666,2811,0.0,0.0,0.0
1667,2550,0.0,0.0,0.0
1668,36,0.0,0.0,0.0
1671,472,0.0,0.0,0.0
1675,2594,0.0,0.0,0.0
1688,1258,0.0,0.0,0.0
1691,1555,0.0,0.0,0.0
1692,2581,0.0,0.0,0.0
1700,2485,0.0,0.0,0.0
1702,2395,0.27894294565112987,1.0,1.0
1703,3203,0.0,0.0,0.0
1707,1297,0.26264953503719357,1.0,1.0
1709,2111,0.0,0.0,0.0
1710,1403,0.0,0.0,0.0
1711,84,0.0,0.0,0.0
1716,2111,0.0,0.0,0.0
1723,2293,0.0,0.0,0.0
1726,2591,0.0,0.0,0.0
1727,956,0.0,0.0,0.0
1735,309,0.0,0.0,0.0
1736,212,0.0,0.0,0.0
1739,3238,0.0,0.0,0.0
1741,2395,0.25,1.0,1.0
1744,2203,0.0,0.0,0.0
1745,2405,0.0,0.0,0.0
1747,260,0.0,0.0,0.0
1757,3256,0.0,0.0,0.0
1761,2615,0.0,0.0,0.0
1763,47,0.0,0.0,0.0
1765,2745,0.0,0.0,0.0
1773,2971,0.0,0.0,0.0
1776,2872,0.0,0.0,0.0
1779,2581,0.0,0.0,0.0
1782,298,0.0,0.0,0.0
1786,534,0.5,1.0,1.0
1787,886,0.27894294565112987,1.0,1.0
1789,314,0.0,0.0,0.0
1790,3218,0.0,0.0,0.0
1792,2311,0.0,0.0,0.0
1794,1023,0.5,1.0,1.0
1796,3068,0.0,0.0,0.0
1800,1239,0.0,0.0,0.0
1802,1168,0.0,0.0,0.0
1804,1131,0.0,0.0,0.0
1805,2894,0.0,0.0,0.0
1808,3126,0.0,0.0,0.0
1811,793,0.0,0.0,0.0
1814,2033,0.0,0.0,0.0
1815,1610,0.0,0.0,0.0
1817,3085,0.0,0.0,0.0
1822,1413,0.0,0.0,0.0
1823,3149,0.0,0.0,0.0
1824,2674,0.0,0.0,0.0
1825,2569,0.23981246656813146,1.0,1.0
1828,2260,0.2559580248098155,1.0,1.0
1829,1261,0.43067655807339306,1.0,1.0
1832,3221,0.0,0.0,0.0
1838,1592,0.0,0.0,0.0
1839,2812,0.0,0.0,0.0
1840,1000,0.0,0.0,0.0
1841,2203,0.0,0.0,0.0
1844,2853,0.0,0.0,0.0
1858,1295,0.0,0.0,0.0
1860,2454,0.0,0.0,0.0
1862,2835,0.0,0.0,0.0
1863,3205,0.0,0.0,0.0
1865,2899,0.0,0.0,0.0
1869,2394,0.0,0.0,0.0
1870,2914,0.0,0.0,0.0
1871,520,0.0,0.0,0.0
1878,2400,0.0,0.0,0.0
1884,2202,0.0,0.0,0.0
1887,1249,0.0,0.0,0.0
1889,137,0.0,0.0,0.0
1896,732,0.0,0.0,0.0
1900,1024,0.0,0.0,0.0
1902,1602,0.0,0.0,0.0
1905,2165,0.0,0.0,0.0
1906,974,0.0,0.0,0.0
1907,1506,0.0,0.0,0.0
1915,2920,0.0,0.0,0.0
1916,3059,0.0,0.0,0.0
1919,780,0.0,0.0,0.0
1922,3216,0.0,0.0,0.0
1926,3219,0.0,0.0,0.0
1929,1851,0.0,0.0,0.0
1931,2559,0.0,0.0,0.0
1935,2853,0.0,0.0,0.0
1940,913,0.3562071871080222,1.0,1.0
1944,2674,0.0,0.0,0.0
1946,1445,0.0,0.0,0.0
1947,2816,0.0,0.0,0.0
1949,2219,0.0,0.0,0.0
1953,3112,0.0,0.0,0.0
1959,2601,0.0,0.0,0.0
1961,3259,0.0,0.0,0.0
1962,1324,0.0,0.0,0.0
1963,2972,0.0,0.0,0.0
1969,2575,0.0,0.0,0.0
1970,1899,0.0,0.0,0.0
1973,510,0.0,0.0,0.0
1978,2717,0.0,0.0,0.0
1983,1350,0.0,0.0,0.0
1986,2701,0.0,0.0,0.0
1989,2472,0.0,0.0,0.0
1991,2900,0.0,0.0,0.0
1994,3112,0.0,0.0,0.0
1997,1012,0.3562071871080222,1.0,1.0
2000,2456,0.0,0.0,0.0
2006,1420,0.0,0.0,0.0
2015,2223,0.0,0.0,0.0
2016,24,0.0,0.0,0.0
2017,2544,0.0,0.0,0.0
2018,2936,0.0,0.0,0.0
2021,1653,0.0,0.0,0.0
2023,2869,0.0,0.0,0.0
2027,659,0.0,0.0,0.0
2028,304,0.0,0.0,0.0
2029,2960,0.0,0.0,0.0
2030,2789,0.0,0.0,0.0
2033,2405,0.0,0.0,0.0
2034,1843,0.0,0.0,0.0
2037,722,0.0,0.0,0.0
2038,1248,0.0,0.0,0.0
2040,422,0.0,0.0,0.0
2042,2746,0.0,0.0,0.0
2047,1297,0.0,0.0,0.0
2055,1074,0.0,0.0,0.0
2058,2629,0.0,0.0,0.0
2059,1544,0.0,0.0,0.0
2061,3078,0.0,0.0,0.0
2062,656,0.0,0.0,0.0
2067,2260,0.25,1.0,1.0
2071,1821,0.0,0.0,0.0
2076,886,1.0,1.0,1.0
2078,3069,0.0,0.0,0.0
2087,261,0.0,0.0,0.0
