uid,target,NDCG@20,Recall@20,HitRate@20
13826,3000,0.0,0.0,0.0
13879,9341,0.0,0.0,0.0
13895,70827,0.0,0.0,0.0
14013,43411,0.0,0.0,0.0
14105,73178,0.0,0.0,0.0
14215,51715,0.0,0.0,0.0
14244,59822,0.0,0.0,0.0
14496,45977,0.0,0.0,0.0
14557,22275,0.0,0.0,0.0
14571,78655,0.0,0.0,0.0
14838,70813,0.0,0.0,0.0
14869,63609,0.0,0.0,0.0
14912,77917,0.0,0.0,0.0
14994,78239,0.0,0.0,0.0
15026,53741,0.0,0.0,0.0
15077,79166,0.0,0.0,0.0
15081,36297,0.0,0.0,0.0
15182,14275,0.0,0.0,0.0
15280,16542,0.0,0.0,0.0
15304,11096,0.0,0.0,0.0
15517,77397,0.0,0.0,0.0
15518,31348,0.0,0.0,0.0
15555,47228,0.0,0.0,0.0
15621,8404,0.0,0.0,0.0
15643,48912,0.0,0.0,0.0
15704,76408,0.0,0.0,0.0
15780,53417,0.0,0.0,0.0
15788,50573,0.0,0.0,0.0
15994,48124,0.0,0.0,0.0
15995,56646,0.0,0.0,0.0
16150,34863,0.0,0.0,0.0
16251,45268,0.0,0.0,0.0
16470,20246,0.0,0.0,0.0
16484,77805,0.0,0.0,0.0
16618,16563,0.6309297535714575,1.0,1.0
16745,19687,0.0,0.0,0.0
16776,60200,0.0,0.0,0.0
16807,33456,0.0,0.0,0.0
16848,54645,0.0,0.0,0.0
16931,51107,0.0,0.0,0.0
16949,21181,0.0,0.0,0.0
17031,22307,0.0,0.0,0.0
17143,78459,0.0,0.0,0.0
17162,34707,0.0,0.0,0.0
17198,45923,0.2559580248098155,1.0,1.0
17219,19379,0.0,0.0,0.0
17245,78989,0.0,0.0,0.0
17250,49394,0.27023815442731974,1.0,1.0
17291,78654,0.0,0.0,0.0
17342,42584,0.0,0.0,0.0
17356,54573,0.0,0.0,0.0
17449,78309,0.0,0.0,0.0
17654,49582,0.0,0.0,0.0
17709,3923,0.0,0.0,0.0
17719,73076,0.0,0.0,0.0
17830,25975,0.0,0.0,0.0
17830,26572,0.0,0.0,0.0
18069,18183,0.0,0.0,0.0
18082,78459,0.0,0.0,0.0
18147,77948,0.0,0.0,0.0
